trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
45,False,"{'a': 0.3, 'e': 0.855}",25,0,-102.86663615715037,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
46,False,"{'a': 0.3, 'e': 0.854}",30,6,-119.12591695499894,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 2}",1
47,False,"{'a': 0.3, 'e': 0.853}",30,0,-206.9128152413332,"{0: 14, 1: 5, 2: 6, 3: 3, 4: 2}",0
48,False,"{'a': 0.3, 'e': 0.852}",20,15,-12.683525125914155,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
49,False,"{'a': 0.3, 'e': 0.851}",20,6,-84.96569265758578,"{0: 9, 1: 0, 2: 2, 3: 2, 4: 1}",1
50,False,"{'a': 0.3, 'e': 0.85}",35,0,8.42240165949186,"{0: 30, 1: 3, 2: 2, 3: 0, 4: 0}",0
51,False,"{'a': 0.3, 'e': 0.849}",25,0,-104.60299505250813,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
52,False,"{'a': 0.3, 'e': 0.848}",20,0,-133.69158411198526,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
53,False,"{'a': 0.3, 'e': 0.847}",20,6,-39.910230515552655,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
54,False,"{'a': 0.3, 'e': 0.846}",20,0,-37.31058210873552,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
55,False,"{'a': 0.3, 'e': 0.845}",30,0,-133.7606275133504,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
56,False,"{'a': 0.3, 'e': 0.844}",30,0,-123.18206379117805,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
57,False,"{'a': 0.3, 'e': 0.843}",20,0,-189.64496415625754,"{0: 8, 1: 2, 2: 5, 3: 3, 4: 2}",0
58,False,"{'a': 0.3, 'e': 0.842}",20,8,-71.66245266896951,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 2}",1
59,False,"{'a': 0.3, 'e': 0.841}",20,0,-102.47714403278654,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
60,False,"{'a': 0.3, 'e': 0.84}",20,0,-131.1972982391204,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
61,False,"{'a': 0.3, 'e': 0.839}",20,0,-103.3107536277695,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
62,False,"{'a': 0.3, 'e': 0.838}",20,0,-65.50797870277452,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
63,False,"{'a': 0.3, 'e': 0.837}",25,0,-64.59475035199183,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
64,False,"{'a': 0.3, 'e': 0.836}",20,0,-95.68200700958103,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
65,False,"{'a': 0.3, 'e': 0.835}",30,0,-156.92528983273476,"{0: 22, 1: 0, 2: 4, 3: 1, 4: 3}",0
66,False,"{'a': 0.3, 'e': 0.834}",20,0,-238.72380183762567,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 6}",0
67,False,"{'a': 0.3, 'e': 0.833}",20,0,-63.21746021492533,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",1
68,False,"{'a': 0.3, 'e': 0.832}",20,0,-168.37946492777485,"{0: 9, 1: 4, 2: 2, 3: 3, 4: 2}",0
69,False,"{'a': 0.3, 'e': 0.831}",20,0,-90.8463528480058,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
70,False,"{'a': 0.3, 'e': 0.83}",20,0,-66.2569140867751,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
71,False,"{'a': 0.3, 'e': 0.829}",20,0,-97.16146095062783,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
72,False,"{'a': 0.3, 'e': 0.828}",20,0,-147.8909986571356,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
73,False,"{'a': 0.3, 'e': 0.827}",20,0,-95.7290146066347,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
74,False,"{'a': 0.3, 'e': 0.826}",20,0,-89.813129226273,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
75,False,"{'a': 0.3, 'e': 0.825}",20,0,-98.60237651433405,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
76,False,"{'a': 0.3, 'e': 0.824}",20,0,-57.42846964442815,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
77,False,"{'a': 0.3, 'e': 0.823}",20,0,-129.1546156609461,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
78,False,"{'a': 0.3, 'e': 0.822}",20,0,-41.74105323685482,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",1
79,False,"{'a': 0.3, 'e': 0.821}",25,0,-151.27568401743446,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
80,False,"{'a': 0.3, 'e': 0.82}",25,12,-26.37985559546718,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 0}",1
81,False,"{'a': 0.3, 'e': 0.819}",20,0,-37.4290086355474,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
82,False,"{'a': 0.3, 'e': 0.818}",30,0,-101.48347311618608,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
83,False,"{'a': 0.3, 'e': 0.817}",25,7,2.485856817964213,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.3, 'e': 0.816}",25,0,-236.64917947482004,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 4}",0
85,False,"{'a': 0.3, 'e': 0.815}",30,22,15.070678390187549,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.3, 'e': 0.814}",25,0,-63.09892308089406,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
87,False,"{'a': 0.3, 'e': 0.813}",20,0,-57.30727330717862,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
88,False,"{'a': 0.3, 'e': 0.8119999999999999}",20,0,-119.68571684792343,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
89,False,"{'a': 0.3, 'e': 0.8109999999999999}",25,0,-112.39878533074166,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
90,False,"{'a': 0.3, 'e': 0.8099999999999999}",25,14,-22.721914639823837,"{0: 7, 1: 3, 2: 0, 3: 1, 4: 0}",1
91,False,"{'a': 0.3, 'e': 0.8089999999999999}",20,0,-19.607406863545975,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
92,False,"{'a': 0.3, 'e': 0.8079999999999999}",20,9,2.495288583132176,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.3, 'e': 0.8069999999999999}",20,2,-29.82793801247722,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 0}",1
94,False,"{'a': 0.3, 'e': 0.8059999999999999}",35,0,-179.8563211938111,"{0: 21, 1: 3, 2: 7, 3: 2, 4: 2}",0
95,False,"{'a': 0.3, 'e': 0.8049999999999999}",25,15,-47.55485728189343,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
96,False,"{'a': 0.3, 'e': 0.8039999999999999}",30,0,-82.04943818852765,"{0: 21, 1: 5, 2: 2, 3: 1, 4: 1}",0
97,False,"{'a': 0.3, 'e': 0.8029999999999999}",25,0,-48.15075536646216,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
98,False,"{'a': 0.3, 'e': 0.8019999999999999}",25,14,-4.841231376853716,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
99,False,"{'a': 0.3, 'e': 0.8009999999999999}",25,0,-44.13185828664892,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
100,False,"{'a': 0.3, 'e': 0.7999999999999999}",25,0,-94.40189258060805,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
101,False,"{'a': 0.3, 'e': 0.7989999999999999}",25,5,-106.97966942644679,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",1
102,False,"{'a': 0.3, 'e': 0.7979999999999999}",20,0,-92.19669554822894,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
103,False,"{'a': 0.3, 'e': 0.7969999999999999}",30,3,-45.47168386782593,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 0}",1
104,False,"{'a': 0.3, 'e': 0.7959999999999999}",20,0,-123.09187825259819,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
105,False,"{'a': 0.3, 'e': 0.7949999999999999}",20,0,-142.7663800319655,"{0: 11, 1: 1, 2: 3, 3: 4, 4: 1}",0
106,False,"{'a': 0.3, 'e': 0.7939999999999999}",20,14,-13.425779706613833,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.3, 'e': 0.7929999999999999}",25,11,-12.56386603542138,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
108,False,"{'a': 0.3, 'e': 0.7919999999999999}",30,0,-162.51219998367705,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
109,False,"{'a': 0.3, 'e': 0.7909999999999999}",30,0,-49.200799774748035,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
110,False,"{'a': 0.3, 'e': 0.7899999999999999}",30,10,-62.764730639091844,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",1
111,False,"{'a': 0.3, 'e': 0.7889999999999999}",20,0,-198.538801264538,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
112,False,"{'a': 0.3, 'e': 0.7879999999999999}",35,0,-234.40068026553507,"{0: 22, 1: 1, 2: 6, 3: 2, 4: 4}",0
113,False,"{'a': 0.3, 'e': 0.7869999999999999}",30,0,-128.4638268523597,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
114,False,"{'a': 0.3, 'e': 0.7859999999999999}",30,0,-207.39566358971933,"{0: 20, 1: 0, 2: 3, 3: 4, 4: 3}",0
115,False,"{'a': 0.3, 'e': 0.7849999999999999}",20,0,-128.39396845237644,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
116,False,"{'a': 0.3, 'e': 0.7839999999999999}",20,0,-49.40229569778193,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
