trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
189,False,"{'a': 0.3, 'e': 0.7109999999999999}",20,0,-75.96926086063793,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
190,False,"{'a': 0.3, 'e': 0.7099999999999999}",20,0,-69.73919162170655,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
191,False,"{'a': 0.3, 'e': 0.7089999999999999}",20,0,-22.410615746401067,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
192,False,"{'a': 0.3, 'e': 0.7079999999999999}",25,0,-63.51545563389348,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
193,False,"{'a': 0.3, 'e': 0.7069999999999999}",20,0,-103.65338532336659,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
194,False,"{'a': 0.3, 'e': 0.7059999999999998}",30,2,-113.14705217642434,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 3}",1
195,False,"{'a': 0.3, 'e': 0.7049999999999998}",20,0,-89.14634884634627,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
196,False,"{'a': 0.3, 'e': 0.7039999999999998}",35,6,-115.64862040790743,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 1}",1
197,False,"{'a': 0.3, 'e': 0.7029999999999998}",20,10,-17.489872896079397,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
198,False,"{'a': 0.3, 'e': 0.7019999999999998}",25,0,-91.75033088639367,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
199,False,"{'a': 0.3, 'e': 0.7009999999999998}",25,13,-43.20329074206636,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
200,False,"{'a': 0.3, 'e': 0.6999999999999998}",20,0,-80.24688141804835,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
201,False,"{'a': 0.3, 'e': 0.6989999999999998}",20,0,-115.01969624519272,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
202,False,"{'a': 0.3, 'e': 0.6979999999999998}",30,20,-1.6548684875378425,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
203,False,"{'a': 0.3, 'e': 0.6969999999999998}",20,0,-125.90059086581863,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
204,False,"{'a': 0.3, 'e': 0.6959999999999998}",35,9,-108.03074843611294,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 1}",1
205,False,"{'a': 0.3, 'e': 0.6949999999999998}",20,0,-54.981893329158915,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
206,False,"{'a': 0.3, 'e': 0.6939999999999998}",20,7,-51.44097646265408,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 1}",1
207,False,"{'a': 0.3, 'e': 0.6929999999999998}",30,0,-102.06150693676649,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",1
208,False,"{'a': 0.3, 'e': 0.6919999999999998}",20,1,-0.7523254238646184,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
209,False,"{'a': 0.3, 'e': 0.6909999999999998}",30,12,-100.08181110804958,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 3}",1
210,False,"{'a': 0.3, 'e': 0.6899999999999998}",20,14,10.327500390324516,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.3, 'e': 0.6889999999999998}",25,0,-93.7429414750144,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
212,False,"{'a': 0.3, 'e': 0.6879999999999998}",25,0,-9.283572934197442,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
213,False,"{'a': 0.3, 'e': 0.6869999999999998}",20,0,-54.250042123333984,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
214,False,"{'a': 0.3, 'e': 0.6859999999999998}",25,1,-46.76529551378131,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 1}",1
215,False,"{'a': 0.3, 'e': 0.6849999999999998}",30,0,-73.5060394288134,"{0: 23, 1: 4, 2: 1, 3: 0, 4: 2}",0
216,False,"{'a': 0.3, 'e': 0.6839999999999998}",20,0,-80.46008993873728,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
217,False,"{'a': 0.3, 'e': 0.6829999999999998}",25,15,-13.44966380116398,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
218,False,"{'a': 0.3, 'e': 0.6819999999999998}",20,7,-43.643932342955836,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
219,False,"{'a': 0.3, 'e': 0.6809999999999998}",35,9,-90.08410122242809,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 1}",1
220,False,"{'a': 0.3, 'e': 0.6799999999999998}",25,0,-70.22798915211068,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
221,False,"{'a': 0.3, 'e': 0.6789999999999998}",20,6,-97.98720306670798,"{0: 7, 1: 2, 2: 2, 3: 2, 4: 1}",1
222,False,"{'a': 0.3, 'e': 0.6779999999999998}",25,2,-55.78187400190776,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 0}",1
223,False,"{'a': 0.3, 'e': 0.6769999999999998}",25,0,-75.64927595220759,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",1
224,False,"{'a': 0.3, 'e': 0.6759999999999998}",30,16,-63.06386373164402,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
225,False,"{'a': 0.3, 'e': 0.6749999999999998}",20,7,-25.172944940179107,"{0: 10, 1: 1, 2: 0, 3: 2, 4: 0}",1
226,False,"{'a': 0.3, 'e': 0.6739999999999998}",20,0,-29.206820409486816,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
227,False,"{'a': 0.3, 'e': 0.6729999999999998}",30,19,-25.18289167054144,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
228,False,"{'a': 0.3, 'e': 0.6719999999999998}",20,0,-15.912540542414654,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
229,False,"{'a': 0.3, 'e': 0.6709999999999998}",30,0,-15.871286054185248,"{0: 26, 1: 2, 2: 1, 3: 1, 4: 0}",0
230,False,"{'a': 0.3, 'e': 0.6699999999999998}",20,0,-42.15359616164028,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
231,False,"{'a': 0.3, 'e': 0.6689999999999998}",35,9,-138.949408105923,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 2}",1
232,False,"{'a': 0.3, 'e': 0.6679999999999998}",25,0,-50.5072274049215,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
233,False,"{'a': 0.3, 'e': 0.6669999999999998}",30,12,-64.80352398193652,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 1}",1
234,False,"{'a': 0.3, 'e': 0.6659999999999998}",25,9,-17.461878224319122,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
235,False,"{'a': 0.3, 'e': 0.6649999999999998}",20,13,3.9753159299448035,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
236,False,"{'a': 0.3, 'e': 0.6639999999999998}",20,0,-37.54469563563567,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
237,False,"{'a': 0.3, 'e': 0.6629999999999998}",25,0,-47.12650136725339,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
238,False,"{'a': 0.3, 'e': 0.6619999999999998}",25,4,-94.66259593005503,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 2}",1
239,False,"{'a': 0.3, 'e': 0.6609999999999998}",30,16,-22.682201472093496,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
240,False,"{'a': 0.3, 'e': 0.6599999999999998}",25,0,-47.80582059649719,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
241,False,"{'a': 0.3, 'e': 0.6589999999999998}",20,5,-42.38394276933817,"{0: 9, 1: 3, 2: 2, 3: 1, 4: 0}",1
242,False,"{'a': 0.3, 'e': 0.6579999999999998}",20,3,-108.78570612867804,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 2}",1
243,False,"{'a': 0.3, 'e': 0.6569999999999998}",25,0,-107.14895466648962,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
244,False,"{'a': 0.3, 'e': 0.6559999999999998}",25,0,-128.8592026335196,"{0: 14, 1: 0, 2: 9, 3: 1, 4: 1}",0
245,False,"{'a': 0.3, 'e': 0.6549999999999998}",20,0,-6.352918850108891,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
246,False,"{'a': 0.3, 'e': 0.6539999999999998}",20,0,-51.837621965603745,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
247,False,"{'a': 0.3, 'e': 0.6529999999999998}",20,0,-95.13436288080236,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
248,False,"{'a': 0.3, 'e': 0.6519999999999998}",30,0,-19.26125921114855,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
249,False,"{'a': 0.3, 'e': 0.6509999999999998}",25,0,-67.59699845112513,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
250,False,"{'a': 0.3, 'e': 0.6499999999999998}",20,0,-94.31057567864727,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
251,False,"{'a': 0.3, 'e': 0.6489999999999998}",20,0,-17.083266724228974,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
252,False,"{'a': 0.3, 'e': 0.6479999999999998}",25,16,-12.696734960116624,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
253,False,"{'a': 0.3, 'e': 0.6469999999999998}",25,13,-55.783823382194484,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
254,False,"{'a': 0.3, 'e': 0.6459999999999998}",20,0,-33.48252613378961,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
255,False,"{'a': 0.3, 'e': 0.6449999999999998}",20,13,-41.07495720216487,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
256,False,"{'a': 0.3, 'e': 0.6439999999999998}",30,0,-102.4895619578653,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
257,False,"{'a': 0.3, 'e': 0.6429999999999998}",20,14,-13.428243817753362,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
258,False,"{'a': 0.3, 'e': 0.6419999999999998}",25,9,-78.54896456087722,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 1}",1
259,False,"{'a': 0.3, 'e': 0.6409999999999998}",20,9,6.586151801752849,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
260,False,"{'a': 0.3, 'e': 0.6399999999999998}",35,0,-40.75074982376352,"{0: 29, 1: 1, 2: 4, 3: 0, 4: 1}",0
261,False,"{'a': 0.3, 'e': 0.6389999999999998}",25,0,-47.67245484762867,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
262,False,"{'a': 0.3, 'e': 0.6379999999999998}",30,10,-69.70987428200243,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",1
263,False,"{'a': 0.3, 'e': 0.6369999999999998}",35,0,-48.27457751988929,"{0: 30, 1: 0, 2: 3, 3: 1, 4: 1}",0
264,False,"{'a': 0.3, 'e': 0.6359999999999998}",25,0,7.282395586313335,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
265,False,"{'a': 0.3, 'e': 0.6349999999999998}",25,0,-38.37621926032555,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
266,False,"{'a': 0.3, 'e': 0.6339999999999998}",25,0,-47.82915436406262,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
267,False,"{'a': 0.3, 'e': 0.6329999999999998}",20,7,1.5461393706465456,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
268,False,"{'a': 0.3, 'e': 0.6319999999999998}",25,0,-90.07357261334575,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
269,False,"{'a': 0.3, 'e': 0.6309999999999998}",25,16,-6.401041686080131,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
270,False,"{'a': 0.3, 'e': 0.6299999999999998}",20,4,-15.23020392319543,"{0: 12, 1: 3, 2: 0, 3: 1, 4: 0}",1
271,False,"{'a': 0.3, 'e': 0.6289999999999998}",20,0,-81.86282603551147,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
272,False,"{'a': 0.3, 'e': 0.6279999999999998}",30,0,-11.325905586149918,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
273,False,"{'a': 0.3, 'e': 0.6269999999999998}",25,2,-28.24256055009084,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 0}",1
274,False,"{'a': 0.3, 'e': 0.6259999999999998}",20,0,-79.96562353691519,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
275,False,"{'a': 0.3, 'e': 0.6249999999999998}",25,9,4.75325230291431,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
276,False,"{'a': 0.3, 'e': 0.6239999999999998}",20,0,-79.21397916131832,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
277,False,"{'a': 0.3, 'e': 0.6229999999999998}",25,0,-92.26598785109277,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
278,False,"{'a': 0.3, 'e': 0.6219999999999998}",20,0,-92.39202481654334,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
279,False,"{'a': 0.3, 'e': 0.6209999999999998}",30,0,-135.51172432255706,"{0: 22, 1: 2, 2: 2, 3: 1, 4: 3}",0
280,False,"{'a': 0.3, 'e': 0.6199999999999998}",20,0,-77.5149282677739,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
281,False,"{'a': 0.3, 'e': 0.6189999999999998}",20,0,-80.24874705053502,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",1
282,False,"{'a': 0.3, 'e': 0.6179999999999998}",20,8,-61.020789776076164,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 1}",1
283,False,"{'a': 0.3, 'e': 0.6169999999999998}",30,10,-57.60618510977784,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",1
284,False,"{'a': 0.3, 'e': 0.6159999999999998}",20,0,-82.14038953461547,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
285,False,"{'a': 0.3, 'e': 0.6149999999999998}",20,0,-87.44009087410625,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",1
286,False,"{'a': 0.3, 'e': 0.6139999999999998}",20,0,-33.22719417196089,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
287,False,"{'a': 0.3, 'e': 0.6129999999999998}",25,14,-22.398405458859852,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
288,False,"{'a': 0.3, 'e': 0.6119999999999998}",20,12,-8.925933017679267,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
289,False,"{'a': 0.3, 'e': 0.6109999999999998}",30,0,-17.015481303662078,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
290,False,"{'a': 0.3, 'e': 0.6099999999999998}",20,0,-28.695371527115775,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
291,False,"{'a': 0.3, 'e': 0.6089999999999998}",25,0,-145.0584062556737,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
292,False,"{'a': 0.3, 'e': 0.6079999999999998}",30,0,-146.43548308984495,"{0: 19, 1: 5, 2: 1, 3: 3, 4: 2}",0
293,False,"{'a': 0.3, 'e': 0.6069999999999998}",25,0,-257.4660273598582,"{0: 9, 1: 4, 2: 7, 3: 1, 4: 4}",0
294,False,"{'a': 0.3, 'e': 0.6059999999999998}",25,0,-81.14530171448936,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
295,False,"{'a': 0.3, 'e': 0.6049999999999998}",20,0,-15.480593627337703,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
296,False,"{'a': 0.3, 'e': 0.6039999999999998}",20,6,-134.03889315126094,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 3}",1
297,False,"{'a': 0.3, 'e': 0.6029999999999998}",30,0,-113.28575196360407,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
298,False,"{'a': 0.3, 'e': 0.6019999999999998}",25,5,-76.68755081955219,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",1
299,False,"{'a': 0.3, 'e': 0.6009999999999998}",25,0,-30.050726117516426,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",1
300,False,"{'a': 0.3, 'e': 0.5999999999999998}",20,9,-2.3373990474773407,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
301,False,"{'a': 0.3, 'e': 0.5989999999999998}",20,0,-5.072039235287941,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
302,False,"{'a': 0.3, 'e': 0.5979999999999998}",20,0,-167.36972838390244,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 4}",0
303,False,"{'a': 0.3, 'e': 0.5969999999999998}",20,0,-86.63613111001885,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
304,False,"{'a': 0.3, 'e': 0.5959999999999998}",20,0,-120.71833995370848,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
305,False,"{'a': 0.3, 'e': 0.5949999999999998}",20,10,-34.70078184246819,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
306,False,"{'a': 0.3, 'e': 0.5939999999999998}",20,0,-91.40185931738293,"{0: 15, 1: 0, 2: 1, 3: 3, 4: 1}",0
307,False,"{'a': 0.3, 'e': 0.5929999999999997}",20,0,-80.71881751975863,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
308,False,"{'a': 0.3, 'e': 0.5919999999999997}",20,4,-80.04885559251346,"{0: 9, 1: 1, 2: 5, 3: 0, 4: 1}",1
309,False,"{'a': 0.3, 'e': 0.5909999999999997}",20,15,2.9702974624937903,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.3, 'e': 0.5899999999999997}",25,0,-46.58732832339235,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
311,False,"{'a': 0.3, 'e': 0.5889999999999997}",30,15,13.924476827241909,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
312,False,"{'a': 0.3, 'e': 0.5879999999999997}",20,0,-114.02525291192204,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
313,False,"{'a': 0.3, 'e': 0.5869999999999997}",25,0,-188.9994248114176,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
314,False,"{'a': 0.3, 'e': 0.5859999999999997}",35,5,-68.98421548588941,"{0: 23, 1: 2, 2: 1, 3: 4, 4: 0}",1
315,False,"{'a': 0.3, 'e': 0.5849999999999997}",20,6,-16.31067342296966,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
316,False,"{'a': 0.3, 'e': 0.5839999999999997}",20,6,-40.24484270618009,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
317,False,"{'a': 0.3, 'e': 0.5829999999999997}",20,0,-17.939064180218427,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
318,False,"{'a': 0.3, 'e': 0.5819999999999997}",30,0,-134.79352930473098,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
319,False,"{'a': 0.3, 'e': 0.5809999999999997}",25,11,-78.96771095659113,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
320,False,"{'a': 0.3, 'e': 0.5799999999999997}",20,0,-58.255876574745216,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
321,False,"{'a': 0.3, 'e': 0.5789999999999997}",20,7,10.85127881578666,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
322,False,"{'a': 0.3, 'e': 0.5779999999999997}",30,0,-67.69005240672055,"{0: 21, 1: 5, 2: 3, 3: 0, 4: 1}",0
323,False,"{'a': 0.3, 'e': 0.5769999999999997}",25,15,-4.05994464451414,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
324,False,"{'a': 0.3, 'e': 0.5759999999999997}",20,0,-114.38743425461259,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",1
325,False,"{'a': 0.3, 'e': 0.5749999999999997}",25,0,4.383531923107023,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
326,False,"{'a': 0.3, 'e': 0.5739999999999997}",20,0,10.914309171581992,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
327,False,"{'a': 0.3, 'e': 0.5729999999999997}",20,3,-123.75700852433617,"{0: 10, 1: 2, 2: 1, 3: 2, 4: 2}",1
328,False,"{'a': 0.3, 'e': 0.5719999999999997}",30,0,-189.24078903037386,"{0: 20, 1: 1, 2: 3, 3: 3, 4: 3}",0
329,False,"{'a': 0.3, 'e': 0.5709999999999997}",20,10,-35.49907341953619,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
330,False,"{'a': 0.3, 'e': 0.5699999999999997}",25,13,-25.312179358255545,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 0}",1
331,False,"{'a': 0.3, 'e': 0.5689999999999997}",20,8,-12.7393391604115,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
332,False,"{'a': 0.3, 'e': 0.5679999999999997}",20,0,-90.08354437954638,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
333,False,"{'a': 0.3, 'e': 0.5669999999999997}",25,11,23.398474593934193,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.3, 'e': 0.5659999999999997}",20,0,-26.917206111005797,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
335,False,"{'a': 0.3, 'e': 0.5649999999999997}",30,11,-40.3814409264894,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
336,False,"{'a': 0.3, 'e': 0.5639999999999997}",30,13,16.872160843591416,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.3, 'e': 0.5629999999999997}",30,0,-230.5784754846634,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 5}",0
338,False,"{'a': 0.3, 'e': 0.5619999999999997}",25,5,-95.63162902764942,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",1
339,False,"{'a': 0.3, 'e': 0.5609999999999997}",20,0,-58.51991760780503,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
340,False,"{'a': 0.3, 'e': 0.5599999999999997}",20,3,2.1752434746943736,"{0: 13, 1: 4, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.3, 'e': 0.5589999999999997}",20,0,-6.0646843378545645,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
342,False,"{'a': 0.3, 'e': 0.5579999999999997}",20,0,-89.62679051550458,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
343,False,"{'a': 0.3, 'e': 0.5569999999999997}",30,21,-24.210693263123556,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
344,False,"{'a': 0.3, 'e': 0.5559999999999997}",20,0,-94.67979234178685,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
345,False,"{'a': 0.3, 'e': 0.5549999999999997}",25,0,-60.58709229321368,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
346,False,"{'a': 0.3, 'e': 0.5539999999999997}",25,16,1.927309088922517,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
347,False,"{'a': 0.3, 'e': 0.5529999999999997}",25,0,-78.74816640564165,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
348,False,"{'a': 0.3, 'e': 0.5519999999999997}",25,0,-61.48990456379191,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
349,False,"{'a': 0.3, 'e': 0.5509999999999997}",20,6,-17.357792858047066,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
350,False,"{'a': 0.3, 'e': 0.5499999999999997}",25,4,6.186882413090016,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
351,False,"{'a': 0.3, 'e': 0.5489999999999997}",30,17,-13.276575796955852,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
352,False,"{'a': 0.3, 'e': 0.5479999999999997}",25,5,-46.51276394601703,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",1
353,False,"{'a': 0.3, 'e': 0.5469999999999997}",20,15,-1.25203477180116,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
354,False,"{'a': 0.3, 'e': 0.5459999999999997}",30,11,-4.501367368953362,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
355,False,"{'a': 0.3, 'e': 0.5449999999999997}",30,12,-19.892223791212512,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
356,False,"{'a': 0.3, 'e': 0.5439999999999997}",25,7,20.8812005163211,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
357,False,"{'a': 0.3, 'e': 0.5429999999999997}",25,8,-60.438609186102006,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
358,False,"{'a': 0.3, 'e': 0.5419999999999997}",25,2,32.91536634339736,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
359,False,"{'a': 0.3, 'e': 0.5409999999999997}",25,12,-21.771929819426713,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
360,False,"{'a': 0.3, 'e': 0.5399999999999997}",20,0,2.174366988320158,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
361,False,"{'a': 0.3, 'e': 0.5389999999999997}",30,0,-45.8195948968351,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
362,False,"{'a': 0.3, 'e': 0.5379999999999997}",20,11,-38.51274568140353,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
363,False,"{'a': 0.3, 'e': 0.5369999999999997}",30,19,-22.061572875536676,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
364,False,"{'a': 0.3, 'e': 0.5359999999999997}",20,0,11.122683095040774,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
365,False,"{'a': 0.3, 'e': 0.5349999999999997}",25,11,6.558012501967177,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
366,False,"{'a': 0.3, 'e': 0.5339999999999997}",25,19,12.805765314502567,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.3, 'e': 0.5329999999999997}",30,17,-15.615155029522725,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
368,False,"{'a': 0.3, 'e': 0.5319999999999997}",20,0,-11.340648279240432,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
369,False,"{'a': 0.3, 'e': 0.5309999999999997}",20,0,8.64233187590172,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
370,False,"{'a': 0.3, 'e': 0.5299999999999997}",20,0,-17.2032473772247,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
371,False,"{'a': 0.3, 'e': 0.5289999999999997}",20,0,21.016099758424772,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
372,False,"{'a': 0.3, 'e': 0.5279999999999997}",25,13,12.515311351644437,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
